dataset,end-date,entity,entry-date,geojson,geometry,name,organisation-entity,point,prefix,reference,start-date,typology,address-text,article-4-direction,article-4-direction-rules,description,document-url,documentation-url,notes,organisation,uprn
article-4-direction-area,,5010000015,2021-11-11,,"MULTIPOLYGON (((1.074742 51.279357,1.075306 51.279071,1.076675 51.280153,1.076320 51.280344,1.076447 51.280456,1.076246 51.280500,1.076107 51.280390,1.076066 51.280418,1.075396 51.279894,1.074742 51.279357)))","BLACK GRIFFIN LANE 64 TO 101, 102 (THE CARPENTER'S ARMS P.H.) ST PETER'S GROVE 10 TO 50",75,POINT(1.075720 51.279775),article-4-direction-area,72966,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000016,2021-11-11,,"MULTIPOLYGON (((1.075068 51.278806,1.075184 51.278738,1.075301 51.278814,1.075459 51.278728,1.075657 51.278867,1.075510 51.278947,1.075500 51.278941,1.075442 51.278971,1.075434 51.278966,1.075325 51.279023,1.075047 51.278819,1.075068 51.278806)))",ST PETER'S GROVE 59 TO 64,75,POINT(1.075353 51.278864),article-4-direction-area,72967,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000017,2021-11-11,,"MULTIPOLYGON (((1.075366 51.279037,1.075674 51.278879,1.075782 51.278954,1.076073 51.279249,1.076189 51.279394,1.076241 51.279474,1.076029 51.279570,1.075349 51.279046,1.075366 51.279037)))",ST PETER'S GROVE 65 TO 84,75,POINT(1.075812 51.279216),article-4-direction-area,72968,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000018,2021-11-11,,"MULTIPOLYGON (((1.076103 51.279625,1.076286 51.279534,1.076318 51.279574,1.076358 51.279558,1.076461 51.279643,1.076554 51.279607,1.076637 51.279708,1.076400 51.279856,1.076103 51.279625)))",ST PETER'S GROVE 85 TO 91,75,POINT(1.076375 51.279687),article-4-direction-area,72969,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000019,2021-11-11,,"MULTIPOLYGON (((1.082835 51.281931,1.082890 51.281978,1.082806 51.282011,1.082794 51.282046,1.082547 51.282149,1.082469 51.282076,1.082409 51.282099,1.082377 51.282063,1.082525 51.282012,1.082550 51.282040,1.082835 51.281931)))","THE BOROUGH, THE PENTECOSTAL CHURCH, COBDEN PLACE 9",75,POINT(1.082641 51.282043),article-4-direction-area,72970,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000020,2021-11-11,,"MULTIPOLYGON (((1.085705 51.280868,1.085752 51.280805,1.086082 51.280894,1.086030 51.280952,1.085705 51.280868)))",BROAD STREET 45,75,POINT(1.085891 51.280879),article-4-direction-area,72971,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000021,2021-11-11,,"MULTIPOLYGON (((1.084596 51.281682,1.084648 51.281650,1.085102 51.281904,1.085019 51.281958,1.084692 51.281735,1.084596 51.281682)))",BROAD STREET 58,75,POINT(1.084864 51.281810),article-4-direction-area,72972,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000022,2021-11-11,,"MULTIPOLYGON (((1.084383 51.281685,1.084248 51.281603,1.084228 51.281614,1.084134 51.281552,1.084279 51.281458,1.084509 51.281604,1.084383 51.281685)))",BROAD STREET 89A,75,POINT(1.084322 51.281572),article-4-direction-area,72973,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000023,2021-11-11,,"MULTIPOLYGON (((1.084757 51.281429,1.084538 51.281288,1.084951 51.281017,1.084996 51.281059,1.085059 51.281018,1.085001 51.280981,1.085223 51.280802,1.085414 51.280375,1.085755 51.280446,1.085558 51.280841,1.085434 51.281009,1.085308 51.281117,1.085099 51.281252,1.084757 51.281429)))","BROAD STREET, DIOCESANAND PAYNE SMITH SCHOOL, 90,91,92,93A",75,POINT(1.085219 51.280920),article-4-direction-area,72974,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000024,2021-11-11,,"MULTIPOLYGON (((1.085791 51.280323,1.085468 51.280262,1.085556 51.280054,1.085890 51.280097,1.085879 51.280152,1.085791 51.280323)))","BROAD STREET 93,94,95,95A,96,97,98",75,POINT(1.085682 51.280184),article-4-direction-area,72975,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000025,2021-11-11,,"MULTIPOLYGON (((1.085923 51.279116,1.085807 51.279100,1.085473 51.278643,1.085640 51.278592,1.085639 51.278536,1.085577 51.278448,1.085615 51.278436,1.085598 51.278408,1.085621 51.278401,1.085511 51.278244,1.085491 51.278248,1.085414 51.278066,1.085816 51.278012,1.085842 51.278088,1.085894 51.278086,1.085890 51.278102,1.085923 51.278166,1.085914 51.278186,1.085898 51.278192,1.085968 51.278302,1.086062 51.278280,1.086026 51.278194,1.086291 51.278132,1.086393 51.278298,1.086510 51.278526,1.086476 51.278623,1.086275 51.278678,1.086322 51.278739,1.086195 51.278771,1.086225 51.278808,1.086343 51.278767,1.086534 51.278763,1.086544 51.278927,1.086513 51.278966,1.085923 51.279116)))","BROAD STREET MAGISTRATES COURT, MONASTERY STREET 5 TO 21 (ODD), 25,27, LADY WOOTTON'S GREEN 2 TO 14",75,POINT(1.085988 51.278578),article-4-direction-area,72976,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000026,2021-11-11,,"MULTIPOLYGON (((1.084601 51.278377,1.084107 51.278526,1.084150 51.278589,1.083930 51.278651,1.083724 51.278362,1.084498 51.278201,1.084601 51.278377)))","BURGATE 5 TO 9, 10,10A,10B,11",75,POINT(1.084148 51.278404),article-4-direction-area,72977,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000027,2021-11-11,,"MULTIPOLYGON (((1.086008 51.278636,1.085920 51.278528,1.085837 51.278383,1.086011 51.278357,1.086099 51.278336,1.086145 51.278439,1.086123 51.278440,1.086215 51.278590,1.086008 51.278636)))",MONASTERY STREET 13A,75,POINT(1.086030 51.278484),article-4-direction-area,72978,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000028,2021-11-11,,"MULTIPOLYGON (((1.084251 51.278031,1.084198 51.277975,1.084188 51.277979,1.084132 51.277929,1.084200 51.277899,1.084319 51.277998,1.084251 51.278031)))",BURGATE LANE 3,75,POINT(1.084226 51.277964),article-4-direction-area,72979,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000029,2021-11-11,,"MULTIPOLYGON (((1.076290 51.276173,1.076170 51.276078,1.076188 51.276070,1.076050 51.275972,1.075980 51.276003,1.075810 51.276099,1.075707 51.276014,1.075997 51.275786,1.076179 51.275907,1.076143 51.275928,1.076376 51.276096,1.076290 51.276173)))","CASTLE ROW 34,35,36, CASTLE STREET 27,27A",75,POINT(1.076028 51.275976),article-4-direction-area,72980,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000030,2021-11-11,,"MULTIPOLYGON (((1.076331 51.275471,1.076106 51.275304,1.076178 51.275276,1.076153 51.275256,1.076219 51.275225,1.076309 51.275283,1.076268 51.275304,1.076411 51.275439,1.076331 51.275471)))",DANE JOHN 24,75,POINT(1.076257 51.275347),article-4-direction-area,72981,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000031,2021-11-11,,"MULTIPOLYGON (((1.077095 51.276317,1.076743 51.275974,1.076659 51.275881,1.076701 51.275825,1.077070 51.275694,1.077211 51.275583,1.077541 51.275750,1.077351 51.275899,1.077374 51.275955,1.077079 51.276125,1.077254 51.276239,1.077095 51.276317)))","CASTLE ROW THE WHITE HART P.H., STORE ADJACENT TO NO 1, DANE JOHN MEWS 1 TO 6, DANE JOHN 1 TO 14 AND",75,POINT(1.077090 51.275908),article-4-direction-area,72982,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000032,2021-11-11,,"MULTIPOLYGON (((1.075449 51.276091,1.075212 51.275905,1.075223 51.275902,1.075099 51.275798,1.075104 51.275795,1.075094 51.275786,1.075074 51.275796,1.075102 51.275818,1.075034 51.275853,1.074981 51.275812,1.074312 51.276151,1.074345 51.276178,1.074255 51.276229,1.074125 51.276154,1.074273 51.276079,1.074283 51.276087,1.075112 51.275668,1.075561 51.276036,1.075449 51.276091)))","CASTLE STREET 38 (FLATS 1 TO 36 INC.), GAS STREET 1 TO 7",75,POINT(1.074912 51.275931),article-4-direction-area,72983,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000033,2021-11-11,,"MULTIPOLYGON (((1.082750 51.282346,1.082722 51.282320,1.082755 51.282296,1.082719 51.282272,1.082758 51.282247,1.082815 51.282282,1.082818 51.282297,1.082750 51.282346)))",CHURCH LANE (ST RADIGUND'S) 1,75,POINT(1.082767 51.282294),article-4-direction-area,72984,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000034,2021-11-11,,"MULTIPOLYGON (((1.071700 51.283021,1.071647 51.283051,1.071654 51.283056,1.071432 51.283162,1.071415 51.283151,1.071386 51.283166,1.071184 51.283035,1.071533 51.282842,1.071741 51.282998,1.071700 51.283021)))",CHURCH STREET (ST DUNSTAN'S) 1 TO 8,75,POINT(1.071467 51.283012),article-4-direction-area,72985,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000035,2021-11-11,,"MULTIPOLYGON (((1.071149 51.282945,1.070612 51.282598,1.070854 51.282441,1.070822 51.282417,1.070813 51.282423,1.070692 51.282353,1.070934 51.282192,1.071635 51.282670,1.071149 51.282945)))","CHURCH STREET (ST DUNSTAN'S) 9 TO 13, CROSS STREET 1,1a,2 TO 9, ORCHARD STREET 26 TO 43",75,POINT(1.071092 51.282587),article-4-direction-area,72986,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000036,2021-11-11,,"MULTIPOLYGON (((1.071746 51.282611,1.072097 51.282411,1.072211 51.282493,1.071861 51.282688,1.071746 51.282611)))","CHURCH STREET 1, 1A",75,POINT(1.071980 51.282550),article-4-direction-area,72987,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000037,2021-11-11,,"MULTIPOLYGON (((1.085204 51.277829,1.085165 51.277736,1.085214 51.277725,1.085254 51.277727,1.085287 51.277809,1.085204 51.277829)))",CHURCH STREET (ST PAUL'S) 15A THE SCHOOL HOUSE,75,POINT(1.085226 51.277774),article-4-direction-area,72988,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000038,2021-11-11,,"MULTIPOLYGON (((1.085208 51.274343,1.085000 51.274216,1.085180 51.274075,1.085414 51.274220,1.085348 51.274268,1.085341 51.274257,1.085208 51.274343)))","COSSINGTON ROAD 1,1A,1B",75,POINT(1.085202 51.274212),article-4-direction-area,72989,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000039,2021-11-11,,"MULTIPOLYGON (((1.085727 51.274001,1.085516 51.273862,1.086113 51.273489,1.086275 51.273585,1.086066 51.273681,1.086122 51.273725,1.085727 51.274001)))",COSSINGTON ROAD 11 TO 33 (ODD),75,POINT(1.085886 51.273750),article-4-direction-area,72990,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000040,2021-11-11,,"MULTIPOLYGON (((1.086255 51.273394,1.086389 51.273306,1.086561 51.273444,1.086445 51.273506,1.086255 51.273394)))",COSSINGTON ROAD 39,75,POINT(1.086410 51.273410),article-4-direction-area,72991,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000041,2021-11-11,,"MULTIPOLYGON (((1.086536 51.272700,1.086798 51.272830,1.087003 51.272951,1.086754 51.273119,1.086665 51.273136,1.086668 51.273073,1.086614 51.273034,1.086610 51.273017,1.086318 51.272849,1.086536 51.272700)))",COSSINGTON ROAD 51 TO 61 (ODD),75,POINT(1.086663 51.272910),article-4-direction-area,72992,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000042,2021-11-11,,"MULTIPOLYGON (((1.086532 51.273085,1.086343 51.273213,1.086089 51.273065,1.086276 51.272938,1.086532 51.273085)))",COSSINGTON ROAD 42 TO 50 (EVEN),75,POINT(1.086310 51.273075),article-4-direction-area,72993,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000043,2021-11-11,,"MULTIPOLYGON (((1.071159 51.283300,1.071088 51.283251,1.070709 51.283029,1.070689 51.283035,1.070495 51.282906,1.070707 51.282781,1.071272 51.283143,1.071329 51.283192,1.071159 51.283300)))",CROSS STREET 19 TO 36,75,POINT(1.070914 51.283036),article-4-direction-area,72994,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000044,2021-11-11,,"MULTIPOLYGON (((1.084488 51.275682,1.084367 51.275746,1.084222 51.275641,1.084289 51.275593,1.084377 51.275651,1.084413 51.275630,1.084488 51.275682)))","DOVER STREET 17,18",75,POINT(1.084352 51.275670),article-4-direction-area,72995,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000045,2021-11-11,,"MULTIPOLYGON (((1.083823 51.276287,1.083713 51.276197,1.083984 51.276073,1.084094 51.276163,1.083823 51.276287)))","DOVER STREET 56A,57 TO 60",75,POINT(1.083903 51.276180),article-4-direction-area,72996,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000046,2021-11-11,,"MULTIPOLYGON (((1.084260 51.276102,1.084177 51.276084,1.084147 51.276056,1.084117 51.276068,1.084080 51.276034,1.084155 51.276002,1.084260 51.276102)))",DOVER STREET 55,75,POINT(1.084164 51.276051),article-4-direction-area,72997,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000047,2021-11-11,,"MULTIPOLYGON (((1.085695 51.275327,1.085399 51.275184,1.085332 51.275088,1.085399 51.275080,1.085584 51.275169,1.085605 51.275153,1.085810 51.275253,1.085695 51.275327)))",DOVER STREET WINSLOW LODGE,75,POINT(1.085571 51.275205),article-4-direction-area,72998,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000048,2021-11-11,,"MULTIPOLYGON (((1.088627 51.275876,1.087981 51.276194,1.087806 51.276056,1.088439 51.275729,1.088627 51.275876)))",EDWARD ROAD 2 TO 11,75,POINT(1.088217 51.275962),article-4-direction-area,72999,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000049,2021-11-11,,"MULTIPOLYGON (((1.079267 51.280801,1.079339 51.280788,1.079512 51.280721,1.079564 51.280773,1.079571 51.280793,1.079541 51.280801,1.079561 51.280829,1.079616 51.280811,1.079710 51.280876,1.079741 51.280849,1.079751 51.280818,1.079932 51.280743,1.079950 51.280749,1.080071 51.280838,1.079961 51.280900,1.079841 51.280947,1.079867 51.280983,1.079805 51.280999,1.079378 51.281061,1.079292 51.280884,1.079292 51.280852,1.079267 51.280801)))","THE FRIARS FRIENDS MEETING HOUSE, KING STREET 6",75,POINT(1.079619 51.280893),article-4-direction-area,73000,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000050,2021-11-11,,"MULTIPOLYGON (((1.074392 51.275948,1.074073 51.276118,1.073963 51.276057,1.074244 51.275858,1.074392 51.275948)))","GAS STREET, OAST HOUSE EXTENSION",75,POINT(1.074176 51.275990),article-4-direction-area,73001,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,COMMERCIAL PROPERTY,,
article-4-direction-area,,5010000051,2021-11-11,,"MULTIPOLYGON (((1.073733 51.274094,1.073503 51.273918,1.073959 51.273674,1.074218 51.273866,1.073733 51.274094)))",GORDON ROAD 1 TO 5 GREENFIELD COTTAGES,75,POINT(1.073857 51.273886),article-4-direction-area,73002,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
