dataset,end-date,entity,entry-date,geojson,geometry,name,organisation-entity,point,prefix,reference,start-date,typology,address-text,article-4-direction,article-4-direction-rules,description,document-url,documentation-url,notes,organisation,uprn
article-4-direction-area,,5010000001,2021-11-11,,"MULTIPOLYGON (((1.081219 51.281976,1.080796 51.282201,1.080617 51.282111,1.080945 51.281933,1.080934 51.281923,1.081226 51.281816,1.081277 51.281891,1.081241 51.281910,1.081243 51.281964,1.081219 51.281976)))",ABBOTS PLACE 1 to 6,75,POINT(1.080968 51.282013),article-4-direction-area,72952,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000002,2021-11-11,,"MULTIPOLYGON (((1.081365 51.282244,1.081335 51.282253,1.081207 51.282143,1.081627 51.282012,1.081697 51.282142,1.081365 51.282244)))",ABBOTS PLACE 16 to 19,75,POINT(1.081466 51.282136),article-4-direction-area,72953,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000003,2021-11-11,,"MULTIPOLYGON (((1.076894 51.277438,1.076857 51.277461,1.076919 51.277500,1.076850 51.277543,1.076870 51.277556,1.076775 51.277614,1.076753 51.277603,1.076687 51.277640,1.076540 51.277543,1.076559 51.277532,1.076462 51.277469,1.076257 51.277586,1.076108 51.277506,1.076630 51.277221,1.076746 51.277294,1.076671 51.277342,1.076685 51.277350,1.076728 51.277325,1.076894 51.277438)))","ADELAIDE PLACE 4,5,6, BARN (REAR OF 68 STOUR ST), HOSPITAL LANE 21 TO 30",75,POINT(1.076567 51.277445),article-4-direction-area,72954,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000004,2021-11-11,,"MULTIPOLYGON (((1.089384 51.276809,1.089079 51.276845,1.088735 51.276321,1.088448 51.276067,1.088718 51.275936,1.088951 51.276138,1.089230 51.276504,1.089252 51.276559,1.089384 51.276809)))","ALBERT ROAD 1 TO 27 (ODD), 12 TO 15 EDWARD ROAD",75,POINT(1.088944 51.276396),article-4-direction-area,72955,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000005,2021-11-11,,"MULTIPOLYGON (((1.088539 51.276609,1.088518 51.276566,1.088499 51.276557,1.088208 51.276646,1.087908 51.276368,1.088047 51.276285,1.088355 51.276130,1.088613 51.276346,1.088646 51.276383,1.088762 51.276552,1.088539 51.276609)))","ALBERT ROAD 2 TO 12 ( EVEN), LOWER CHANTRY LANE, 1 TO 6 THE ALMHOUSES,",75,POINT(1.088333 51.276409),article-4-direction-area,72956,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000006,2021-11-11,,"MULTIPOLYGON (((1.085854 51.281758,1.085669 51.281900,1.085372 51.281748,1.085429 51.281699,1.085348 51.281664,1.085458 51.281567,1.085854 51.281758)))","ALBION PLACE 1A, 2 TO 6, ARTILLERY GARDENS 22",75,POINT(1.085586 51.281736),article-4-direction-area,72957,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000007,2021-11-11,,"MULTIPOLYGON (((1.085893 51.281721,1.085481 51.281525,1.085583 51.281439,1.085890 51.281546,1.085837 51.281610,1.085963 51.281660,1.085893 51.281721)))","ALBION PLACE 7 TO 14,",75,POINT(1.085724 51.281570),article-4-direction-area,72958,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000008,2021-11-11,,"MULTIPOLYGON (((1.078759 51.280648,1.078707 51.280559,1.078646 51.280513,1.078923 51.280432,1.079036 51.280586,1.078759 51.280648)))","ALL SAINTS LANE 5,6,7,8",75,POINT(1.078848 51.280543),article-4-direction-area,72959,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000009,2021-11-11,,"MULTIPOLYGON (((1.078390 51.280529,1.078329 51.280500,1.078444 51.280423,1.078493 51.280455,1.078433 51.280491,1.078390 51.280529)))",ALL SAINTS LANE 18 (FLATS 1 TO 5 INC.),75,POINT(1.078412 51.280476),article-4-direction-area,72960,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,ALSO LISTED GRADE 2,,
article-4-direction-area,,5010000010,2021-11-11,,"MULTIPOLYGON (((1.079264 51.279992,1.079248 51.280000,1.079135 51.279946,1.079339 51.279815,1.079379 51.279824,1.079455 51.279873,1.079264 51.279992)))","BEST LANE 14,15",75,POINT(1.079297 51.279907),article-4-direction-area,72961,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000011,2021-11-11,,"MULTIPOLYGON (((1.079609 51.280323,1.079795 51.280247,1.079809 51.280262,1.079846 51.280237,1.079893 51.280272,1.079847 51.280298,1.079897 51.280331,1.079835 51.280365,1.079793 51.280332,1.079670 51.280381,1.079609 51.280323)))","BEST LANE, 21 (THE THOMAS BECKET P.H)",75,POINT(1.079763 51.280312),article-4-direction-area,72962,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000012,2021-11-11,,"MULTIPOLYGON (((1.079935 51.281526,1.079922 51.281529,1.079851 51.281378,1.079863 51.281363,1.080058 51.281276,1.080211 51.281425,1.080413 51.281340,1.080258 51.281189,1.080394 51.281123,1.080472 51.281099,1.080726 51.281324,1.080726 51.281355,1.080498 51.281500,1.080451 51.281502,1.080449 51.281516,1.080410 51.281515,1.080406 51.281547,1.080304 51.281542,1.080308 51.281509,1.080270 51.281507,1.080276 51.281460,1.079935 51.281526)))","BLACKFRIARS STREET 28,29,30, KING STREET 10 TO 15, MILL LANE 19,20",75,POINT(1.080327 51.281356),article-4-direction-area,72963,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000013,2021-11-11,,"MULTIPOLYGON (((1.080054 51.282067,1.080187 51.282233,1.080096 51.282266,1.079917 51.282109,1.080054 51.282067)))","BLACKFRIARS STREET/MILL LANE 23,24",75,POINT(1.080058 51.282164),article-4-direction-area,72964,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
article-4-direction-area,,5010000014,2021-11-11,,"MULTIPOLYGON (((1.074376 51.279050,1.074687 51.278893,1.074781 51.278976,1.075001 51.278847,1.075263 51.279053,1.075042 51.279168,1.074826 51.278995,1.074813 51.279002,1.075027 51.279175,1.074713 51.279331,1.074376 51.279050)))","BLACK GRIFFIN LANE 54 TO 63, ST PETER'S GROVE 51 TO 58",75,POINT(1.074812 51.279077),article-4-direction-area,72965,1985-11-29,geography,,,,Article 4 Direction 1985,,http://documents.canterbury.gov.uk/publisher/mvc/listDocuments?identifier=Conservation&uidno=DIRECTION%201985,,,
